max_label,best_acc,best_epoch
1,0.11100000888109207,40
2,0.11600000411272049,30
5,0.12600000202655792,1950
10,0.12600000202655792,750
20,0.12600000202655792,980
50,0.12600000202655792,10
100,0.12600000202655792,570
1,0.11500000208616257,30
2,0.11600000411272049,1400
5,0.11600000411272049,20
10,0.12600000202655792,1550
20,0.12600000202655792,1080
50,0.12600000202655792,2070
100,0.11600000411272049,1030
1,0.1120000034570694,210
2,0.11600000411272049,50
5,0.12600000202655792,1810
10,0.12600000202655792,350
20,0.12600000202655792,990
50,0.12600000202655792,250
100,0.12600000202655792,290
1,0.11600000411272049,20
2,0.11600000411272049,20
5,0.12600000202655792,940
10,0.12600000202655792,1880
20,0.12600000202655792,1680
50,0.11800000816583633,50
100,0.12600000202655792,10
1,0.11000000685453415,10
2,0.11600000411272049,10
5,0.12600000202655792,400
10,0.12600000202655792,1540
20,0.12600000202655792,810
50,0.11600000411272049,10
100,0.12600000202655792,590
1,0.12600000202655792,10
2,0.11600000411272049,40
5,0.12600000202655792,40
10,0.12600000202655792,310
20,0.12600000202655792,260
50,0.12600000202655792,60
100,0.12600000202655792,30
